"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"1194","1975-01-06",NA,"Female",21,"do_22","ano",0
"1195","1973-09-01",NA,"Female",23,"ostatni","ano",0
"1205","1962-02-26",NA,"Female",38,"26+","ne",0
"1206","1962-02-26",NA,"Female",34,"26+","ne",0
"1215","1971-02-22",NA,"Female",25,"ostatni","ano",0
"1220","1970-01-15",NA,"Female",26,"ostatni","ano",0
"1224","1970-09-05",NA,"Female",26,"ostatni","ano",0
"1225","1968-03-04",NA,"Female",28,"26+","ano",0
"1244","1971-09-05",NA,"Female",25,"ostatni","ano",0
"1257","1974-09-09",NA,"Female",26,"ostatni","ano",0
"1258","1974-09-09",NA,"Female",22,"ostatni","ano",0
"1268","1961-09-22",NA,"Female",35,"26+","ano",0
"1273","1968-05-10",NA,"Female",28,"26+","ano",0
"1274","1967-06-21",NA,"Female",29,"26+","ano",0
"1280","1967-10-26",NA,"Female",29,"26+","ano",0
"1288","1974-10-23",NA,"Female",22,"ostatni","ano",0
"1300","1978-02-08",NA,"Female",18,"do_22","ano",0
"1977","1959-07-12",NA,"Female",37,"26+","ne",0
"1978","1952-07-17",NA,"Female",20,"do_22","ne",0
"1979","1971-02-10",NA,"Female",21,"do_22","ne",0
"1980","1848-09-07",1929,"Female",56,"26+","ano",1
"1981","1954-01-17",NA,"Female",42,"26+","ne",0
"1982","1958-06-12",NA,"Female",26,"ostatni","ne",0
"1983","1859-08-28",1938,"Female",45,"26+","ano",1
"1984","1958-01-17",NA,"Female",26,"ostatni","ne",0
"1985","1947-06-19",NA,"Female",25,"ostatni","ne",0
"1986","1973-10-12",NA,"Female",19,"do_22","ne",0
"1987","1966-01-30",NA,"Female",22,"ostatni","ano",0
"1988","1973-12-12",NA,"Female",15,"do_22","ano",0
"1989","1840-10-24",1919,"Female",64,"26+","ano",1
"1990","1947-03-11",NA,"Female",37,"26+","ne",0
"1991","1953-01-13",NA,"Female",23,"ostatni","ano",0
"1992","1954-09-23",NA,"Female",34,"26+","ano",0
"1993","1879-12-07",1967,"Female",25,"ostatni","ne",1
"1994","1930-01-08",2008,"Female",42,"26+","ano",1
"1995","1846-04-19",1916,"Female",58,"26+","ano",1
"1996","1962-07-17",NA,"Male",26,"ostatni","ano",0
"1997","1861-05-10",1919,"Male",43,"26+","ne",1
"1998","1878-02-22",1938,"Male",26,"ostatni","ano",1
"1999","1863-12-19",1953,"Male",41,"26+","ano",1
"2000","1850-11-14",1929,"Male",54,"26+","ne",1
"2001","1861-11-22",1944,"Male",43,"26+","ano",1
"2002","1836-03-11",1908,"Male",68,"26+","ano",1
"2003","1938-05-01",NA,"Male",34,"26+","ne",0
"2004","1849-08-20",1923,"Male",55,"26+","ano",1
"2005","1975-01-09",NA,"Male",21,"do_22","ano",0
"2006","1955-08-30",NA,"Male",37,"26+","ano",0
"2007","1853-11-22",1911,"Male",51,"26+","ne",1
"2008","1979-02-02",NA,"Female",17,"do_22","ne",0
"2009","1855-07-02",1916,"Male",49,"26+","ano",1
"2010","1952-01-02",NA,"Male",20,"do_22","ne",0
"2011","1838-01-10",1924,"Male",66,"26+","ne",1
"2012","1953-10-12",NA,"Male",23,"ostatni","ano",0
"2013","1961-06-19",NA,"Male",23,"ostatni","ne",0
"2014","1956-10-23",NA,"Male",20,"do_22","ano",0
"2015","1889-05-19",1963,"Male",15,"do_22","ano",1
"2016","1833-01-03",1911,"Male",71,"26+","ne",1
"2017","1840-09-19",1904,"Male",64,"26+","ano",1
"2018","1851-08-19",1933,"Male",53,"26+","ne",1
"2019","1874-01-26",1958,"Male",30,"26+","ne",1
"2020","1848-03-10",1918,"Male",56,"26+","ano",1
"2021","1846-07-31",1918,"Male",58,"26+","ne",1
"2022","1953-09-12",NA,"Male",19,"do_22","ano",0
"2023","1841-01-24",1914,"Male",63,"26+","ano",1
"2024","1844-08-15",1927,"Male",60,"26+","ano",1
"2470","1952-02-17",NA,"Female",36,"26+","ne",0
"2471","1976-03-29",NA,"Female",16,"do_22","ano",0
"2472","1976-06-08",NA,"Female",20,"do_22","ano",0
"2473","1954-12-21",NA,"Female",34,"26+","ne",0
"2474","1969-04-09",NA,"Female",27,"26+","ne",0
"2476","1971-09-19",NA,"Female",21,"do_22","ano",0
"2477","1964-03-04",NA,"Female",28,"26+","ne",0
"2478","1963-11-16",NA,"Female",25,"ostatni","ano",0
"2479","1968-12-21",NA,"Female",20,"do_22","ne",0
"2480","1895-11-18",1982,"Female",29,"26+","ne",1
"2481","1963-08-22",NA,"Female",29,"26+","ne",0
"2482","1963-08-22",NA,"Female",33,"26+","ne",0
"2483","1896-05-06",1980,"Female",28,"26+","ano",1
"2484","1882-09-01",1955,"Female",18,"do_22","ne",1
"2485","1879-11-02",1965,"Female",21,"do_22","ano",1
"2486","1964-05-12",NA,"Female",28,"26+","ne",0
"2487","1973-12-02",NA,"Female",23,"ostatni","ano",0
"2488","1901-06-26",1982,"Female",23,"ostatni","ne",1
"2489","1962-07-04",NA,"Female",26,"ostatni","ano",0
"2490","1965-12-24",NA,"Female",27,"26+","ne",0
"2491","1961-03-21",NA,"Female",35,"26+","ne",0
"2492","1886-12-20",1974,"Female",38,"26+","ano",1
"2493","1905-10-06",1998,"Female",19,"do_22","ano",1
"2494","1970-04-29",NA,"Male",26,"ostatni","ano",0
"2495","1875-09-29",1947,"Male",29,"26+","ano",1
"2496","1870-09-19",1956,"Male",34,"26+","ne",1
"2497","1971-02-15",NA,"Male",21,"do_22","ne",0
"2498","1972-02-22",NA,"Male",20,"do_22","ne",0
"2499","1868-02-09",1950,"Male",36,"26+","ne",1
"2500","1970-08-17",NA,"Male",22,"ostatni","ne",0
"2501","1874-03-23",1949,"Male",30,"26+","ne",1
"2502","1879-07-05",1945,"Male",25,"ostatni","ne",1
"2503","1860-02-28",1932,"Male",40,"26+","ano",1
